City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,Hamilton,39.1834,-84.5333,33.19,80,0,0.0,US,2022-02-07 00:42:43
149,Maua,-23.6678,-46.4614,74.07,91,100,3.44,BR,2022-02-07 00:42:43
150,Kununurra,-15.7667,128.7333,78.78,94,40,6.91,AU,2022-02-07 00:42:44
151,Poso,-1.3959,120.7524,84.25,64,83,0.81,ID,2022-02-07 00:42:44
152,Camopi,3.1655,-52.3158,72.01,99,100,1.83,GF,2022-02-07 00:42:45
153,Camana,-16.6228,-72.7111,71.51,80,100,5.19,PE,2022-02-07 00:42:45
154,Aden,12.7794,45.0367,76.87,67,96,8.3,YE,2022-02-07 00:38:41
155,Souillac,-20.5167,57.5167,79.18,83,40,8.05,MU,2022-02-07 00:42:47
156,Ponta Do Sol,32.6667,-17.1,63.23,67,9,10.22,PT,2022-02-07 00:42:47
157,Eureka,40.8021,-124.1637,53.13,82,0,1.01,US,2022-02-07 00:42:48
158,Port Augusta,-32.5,137.7667,88.7,19,7,18.21,AU,2022-02-07 00:42:48
159,Sexsmith,55.35,-118.786,43.95,49,75,11.5,CA,2022-02-07 00:42:49
160,Khor,47.8861,134.9464,-0.15,94,99,6.26,RU,2022-02-07 00:42:49
161,Dikson,73.5069,80.5464,-15.29,98,100,14.74,RU,2022-02-07 00:42:50
162,Palasa,18.7667,84.4167,63.99,77,100,3.58,IN,2022-02-07 00:42:50
163,Mokhsogollokh,61.4681,128.9203,-27.31,100,100,2.8,RU,2022-02-07 00:42:51
164,Guerrero Negro,27.9769,-114.0611,63.23,37,0,11.1,MX,2022-02-07 00:42:52
165,Hegang,47.4,130.3667,6.35,78,87,5.01,CN,2022-02-07 00:42:52
166,Vardo,70.3705,31.1107,23.18,81,70,19.93,NO,2022-02-07 00:42:53
167,Victoria,22.2855,114.1577,62.96,90,99,11.99,HK,2022-02-07 00:42:54
168,Hofn,64.2539,-15.2082,29.41,65,100,10.98,IS,2022-02-07 00:42:55
169,Manthani,18.65,79.6667,62.94,88,90,3.47,IN,2022-02-07 00:42:55
170,Narsaq,60.9167,-46.05,8.82,82,100,3.62,GL,2022-02-07 00:42:55
171,Caravelas,-17.7125,-39.2481,77.09,84,68,6.2,BR,2022-02-07 00:42:56
172,Honningsvag,70.9821,25.9704,25.95,78,68,28.5,NO,2022-02-07 00:42:56
173,Charters Towers,-20.1,146.2667,81.57,50,96,9.89,AU,2022-02-07 00:42:11
174,Esso,55.9333,158.7,15.66,87,94,2.71,RU,2022-02-07 00:42:57
175,Klaksvik,62.2266,-6.589,34.72,53,91,26.84,FO,2022-02-07 00:38:02
176,Bondoukou,8.0333,-2.8,76.21,26,15,2.44,CI,2022-02-07 00:42:58
177,Mazagao,-0.115,-51.2894,77.05,97,100,3.36,BR,2022-02-07 00:42:59
178,Kupang,-10.1667,123.5833,83.68,78,19,6.98,ID,2022-02-07 00:42:59
179,Beira,-19.8436,34.8389,77.09,88,75,12.66,MZ,2022-02-07 00:42:59
180,Tevriz,57.509,72.4042,-2.81,98,99,4.5,RU,2022-02-07 00:43:00
181,Qasigiannguit,68.8193,-51.1922,1.65,98,100,7.07,GL,2022-02-07 00:43:00
182,Turochak,52.2576,87.1224,-4.29,97,23,2.86,RU,2022-02-07 00:43:01
183,Saint-Philippe,-21.3585,55.7679,76.59,84,99,13.4,RE,2022-02-07 00:42:00
184,Castro,-24.7911,-50.0119,64.29,79,6,0.04,BR,2022-02-07 00:43:01
185,Nome,64.5011,-165.4064,-0.33,60,1,11.5,US,2022-02-07 00:43:02
186,Portland,45.5234,-122.6762,57.74,72,20,3.0,US,2022-02-07 00:41:28
187,Pacific Grove,36.6177,-121.9166,69.75,68,0,1.99,US,2022-02-07 00:44:03
188,Aleppo,36.25,37.5,42.39,77,0,5.28,SY,2022-02-07 00:44:03
189,Pyshchug,58.8873,45.7134,0.97,100,100,2.19,RU,2022-02-07 00:44:04
190,Fukue,32.6881,128.8419,43.16,56,75,3.44,JP,2022-02-07 00:44:04
191,Talnakh,69.4865,88.3972,-28.43,99,57,1.5,RU,2022-02-07 00:44:05
192,Aykhal,66.0,111.5,-16.17,100,99,5.79,RU,2022-02-07 00:43:48
193,Tres Arroyos,-38.3739,-60.2798,56.59,85,15,6.69,AR,2022-02-07 00:44:05
